nombre,descripcion,precio,categoría,img
Microsoft Surface Pro 7,Tableta con computadora portátil y modo tableta,749,Electrónica,https://m.media-amazon.com/images/I/61r+GyO2Y0L._AC_SX450_.jpg
Nike Air Force 1,Zapatillas clásicas y elegantes,90,Ropa y calzado,https://static.nike.com/a/images/t_PDP_1280_v1/f_auto,q_auto:eco/e6a85daa-1a77-45b9-a892-b4e72124060f/air-force-1-07-zapatillas-PdDjkL.png
Adidas Ultraboost,Zapatillas para correr con tecnología de amortiguación,180,Ropa y calzado,https://assets.adidas.com/videos/w_600,f_auto,q_auto/2537110c6e0342aaa2a8afb600beaff9_d98c/Zapatilla_Ultraboost_Light_Negro_HQ6339_video.jpg
Levi's 501 Original Fit,Jeans clásicos y duraderos,80,Ropa y calzado,https://img01.ztat.net/article/spp-media-p1/6cf1228814d23859ab06dfb65be9449f/47a0e0f4c1704f22bfe3f7919a069ac5.jpg?imwidth=1800
The North Face Denali,Chaqueta de invierno para hombres,199,Ropa y calzado,https://images.thenorthface.com/is/image/TheNorthFaceEU/7X32_JK3_hero?$262x306$
Columbia Arcadia II,Chaqueta impermeable para mujeres,89,Ropa y calzado,https://columbia.scene7.com/is/image/ColumbiaSportswear2/1534115_472_f_om?wid=768&hei=806&v=1679388927
Puma Essentials,Sudadera con capucha y cremallera para hombres,50,Ropa y calzado,https://images.puma.com/image/upload/f_auto,q_auto,b_rgb:fafafa,w_2000,h_2000/global/586842/04/mod01/fnd/EEA/fmt/png/Pantalones-deportivos-Essentials-para-mujer
Vans Old Skool,Zapatillas clásicas de skate,65,Ropa y calzadohttps://images.vans.com/is/image/VansEU/VN000D3HY28-HERO?$PDP-FULL-IMAGE$
Converse Chuck Taylor All Star,Zapatillas icónicas y versátiles,55,Ropa y calzado,Converse Chuck Taylor All Star,https://www.converse.com/dw/image/v2/BJJF_PRD/on/demandware.static/-/Sites-cnv-master-catalog-we/default/dw83ac5808/images/a_107/M9160_A_107X1.jpg?sw=964
The North Face Recon,Mochila resistente y duradera para actividades al aire libre,99,Ropa y calzado,https://www.tradeinn.com/f/13686/136864228/the-north-face-mochila-recon-30l.jpg
"El poder del ahora" de Eckhart Tolle,Libro de autoayuda y crecimiento personal,15,Libro,https://m.media-amazon.com/images/I/81BrD7hHOxL.jpg
"La casa de los espíritus" de Isabel Allende,Novela de ficción literaria,20,Libro,https://www.penguinlibros.com/es/2234152/la-casa-de-los-espiritus.jpg
"La Odisea" de Homero,Clásico de la literatura épica,10,Libro,https://data.ecasals.net/img/04/g/9788498253351_04_g.jpg
"Breve historia del tiempo" de Stephen Hawking,Libro de divulgación científica,12,Libro,https://images.cdn3.buscalibre.com/fit-in/360x360/c1/d5/c1d562eb8d27c7af22c9f981f4de04f1.jpg
"1984" de George Orwell,Novela distópica de ficción,9,Libro,https://m.media-amazon.com/images/I/81WunXo0giL.jpg
"El arte de amar" de Erich Fromm,Libro de psicología y relaciones interpersonales,18,Libro,https://m.media-amazon.com/images/I/71AXXCo8w4L.jpg
"El principito" de Antoine de Saint-Exupéry,Libro infantil de ficción,10,Libro,https://m.media-amazon.com/images/I/71AVK5VIAzL.jpg
